dog_id,class_id,completion_date,enrollment_status,notes_from_trainer
54,10,2023-04-16,Expelled for zoomie chaos,Turns every command into a dance routine.
69,19,2023-08-31,Enrolled,Excels at napping mid-class.
96,12,2023-11-12,Completed,Tried to lead the class in a mutiny. Literally.
95,16,2023-04-30,Dropped,Refuses to sit unless dramatic music plays.
70,18,2024-10-02,Completed,Refuses to sit unless dramatic music plays.
78,17,2024-03-01,Dropped,Graduated summa bark laude from Treatology 101.
29,12,2023-06-30,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
63,14,2024-05-05,Expelled for zoomie chaos,Excels at napping mid-class.
29,18,2023-08-31,Enrolled,Excels at napping mid-class.
35,11,2024-04-23,Enrolled,Discovered hidden talent: interpretive howling.
56,12,2022-10-05,Completed,Takes zoomies very seriously. A+ for effort.
63,15,2022-10-20,Completed,Tried to lead the class in a mutiny. Literally.
4,9,2022-08-15,Dropped,Turns every command into a dance routine.
50,10,2022-06-28,Enrolled,Still thinks ‘roll over’ means protest nap.
44,9,2024-06-23,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
86,8,2024-12-01,Enrolled,Takes zoomies very seriously. A+ for effort.
87,4,2023-11-16,Completed,Turns every command into a dance routine.
52,7,2024-08-10,Enrolled,Will only heel to jazz music.
93,11,2024-02-20,Expelled for zoomie chaos,Tried to lead the class in a mutiny. Literally.
22,4,2024-08-03,Enrolled,Turns every command into a dance routine.
60,18,2023-02-13,Completed,Excels at napping mid-class.
17,6,2024-08-21,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
80,7,2023-06-08,Dropped,Will only heel to jazz music.
69,7,2023-03-15,Dropped,Turns every command into a dance routine.
4,16,2023-11-15,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
51,9,2022-06-18,Expelled for zoomie chaos,Refuses to sit unless dramatic music plays.
76,19,2022-09-30,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
73,17,2023-09-25,Completed,Discovered hidden talent: interpretive howling.
85,20,2022-05-09,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
4,10,2025-03-24,Completed,Still thinks ‘roll over’ means protest nap.
11,4,2023-12-01,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
83,7,2022-05-27,Completed,Struggles with stay—too many tail distractions.
55,10,2024-03-08,Completed,Excels at napping mid-class.
18,8,2024-02-29,Enrolled,Struggles with stay—too many tail distractions.
60,12,2022-06-23,Dropped,Takes zoomies very seriously. A+ for effort.
24,6,2024-07-08,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
7,10,2025-03-05,Dropped,Refuses to sit unless dramatic music plays.
34,1,2023-05-22,Dropped,Turns every command into a dance routine.
49,18,2024-08-04,Enrolled,Graduated summa bark laude from Treatology 101.
42,5,2023-01-10,Dropped,Discovered hidden talent: interpretive howling.
28,9,2022-12-30,Dropped,Excels at napping mid-class.
59,2,2024-05-23,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
42,2,2024-02-17,Completed,Excels at napping mid-class.
44,18,2023-09-23,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
98,10,2024-02-05,Expelled for zoomie chaos,Will only heel to jazz music.
49,5,2022-10-30,Dropped,Refuses to sit unless dramatic music plays.
36,16,2023-03-16,Dropped,Refuses to sit unless dramatic music plays.
97,4,2022-06-01,Expelled for zoomie chaos,Struggles with stay—too many tail distractions.
54,1,2025-01-16,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
